Id,SalePrice
1461,117304.53493194142
1462,157260.85090976942
1463,177866.26804718803
1464,184875.2490051382
1465,201862.99612821508
1466,175226.1947820595
1467,172049.00210299506
1468,167731.96186370126
1469,196659.00704374723
1470,124135.46441740867
1471,185412.99186871844
1472,97735.91761610885
1473,92076.3230614798
1474,152133.30313749667
1475,124391.14394374359
1476,388292.51558918087
1477,254254.43107306628
1478,305353.01755895995
1479,273611.59800500266
1480,463192.690861928
1481,312701.1808661782
1482,212550.96249741825
1483,172635.22531387108
1484,172092.20394842318
1485,181978.29202984917
1486,194264.12791548637
1487,352323.8825149091
1488,235110.39202172667
1489,203987.47697089394
1490,217439.84772699614
1491,193775.26974338747
1492,93767.18492026006
1493,194845.44042944556
1494,302000.3079922079
1495,298215.68679129885
1496,243059.9567668885
1497,183231.9536299849
1498,163737.1290198085
1499,159858.6091778141
1500,151202.3286195422
1501,178848.1611842405
1502,152062.87458658402
1503,299857.2047109587
1504,236203.56209906223
1505,221751.03863478117
1506,184649.6236009285
1507,230108.96668681756
1508,198513.4192307574
1509,162833.0064302917
1510,148569.21242976855
1511,150351.0006633839
1512,168600.6077936953
1513,153249.49135631436
1514,156214.69335303412
1515,193111.07055109387
1516,159357.9851367484
1517,161074.669464852
1518,127463.09098641247
1519,222377.73438622002
1520,129356.90008584585
1521,134103.14952758743
1522,172769.0554783819
1523,108648.87990599353
1524,120780.10681067349
1525,117847.59507122415
1526,116531.16154173446
1527,105698.95328872149
1528,128950.39739068203
1529,149147.36135386603
1530,187856.86895595482
1531,126184.92596522688
1532,101512.72347464092
1533,148296.70216163612
1534,119588.13853871623
1535,146024.81520233964
1536,103366.04059904932
1537,61764.31124766115
1538,172558.14892868427
1539,219144.34790771428
1540,111693.66491194454
1541,145730.7282278571
1542,139499.86963385085
1543,213416.74682030219
1544,83369.3160994251
1545,113556.81821930088
1546,135617.1643587477
1547,137655.5701777946
1548,145316.99319548797
1549,120597.11059859865
1550,144207.68829141394
1551,111600.13539990423
1552,160454.72586609013
1553,149010.5505549245
1554,113421.57860868484
1555,164467.22428354897
1556,86206.24797375262
1557,110566.4939133521
1558,98190.22045657097
1559,87306.05220654448
1560,133709.7828372113
1561,136506.56696286157
1562,128273.14282301995
1563,125088.28734077261
1564,156899.47345598313
1565,150656.339227956
1566,231800.85736417805
1567,73926.69200411707
1568,227149.9990904126
1569,134167.39700200027
1570,135207.34643436264
1571,109321.58280408748
1572,143446.84803627266
1573,244308.41882857014
1574,119581.15572870745
1575,228082.77685775442
1576,224097.71880697182
1577,196810.83438004306
1578,152661.25776201356
1579,138761.34167219218
1580,192186.20514976155
1581,151353.31930595383
1582,132007.4659607103
1583,303270.8110715707
1584,226032.17097008647
1585,139003.03171682262
1586,67393.42760610506
1587,103581.20740155492
1588,159973.59589403155
1589,101039.18707844599
1590,128942.68907695229
1591,94553.83432556716
1592,119897.70429734023
1593,131648.26960432797
1594,147977.56763838907
1595,112757.29863199782
1596,234328.10601458827
1597,182876.9840063213
1598,205163.05687522737
1599,194681.97298731472
1600,187542.0173216629
1601,66922.49293683765
1602,116967.38596779009
1603,77604.18235063435
1604,279784.27430916374
1605,241789.89959365586
1606,161825.5084736646
1607,169577.44560112947
1608,214367.7474158874
1609,192923.39401462968
1610,151360.48542619086
1611,140455.1057002619
1612,168743.2417728872
1613,165877.86767983844
1614,132237.04881941306
1615,88928.89370212023
1616,69887.94681855167
1617,87397.16795762583
1618,125094.54026383981
1619,141908.34896947685
1620,161833.4555846156
1621,131326.9788310821
1622,148772.71474642723
1623,282692.53407512966
1624,203535.71423236074
1625,125783.19208244591
1626,170438.8970672685
1627,183157.7392905736
1628,279167.44608083327
1629,181042.53174550447
1630,354724.4918747305
1631,226408.0372952811
1632,238765.65659337482
1633,176559.02999889015
1634,184461.41277237245
1635,176692.77029328025
1636,154807.5208298931
1637,187136.06290668272
1638,196305.20236315895
1639,182083.8488422048
1640,251114.39326164147
1641,180541.7332886509
1642,238291.13481878606
1643,218969.68180731547
1644,226938.31519925667
1645,185979.7330332743
1646,156129.61463383125
1647,160483.81429042688
1648,135345.73105477463
1649,135211.09569427196
1650,119285.92068707953
1651,120207.3102886599
1652,96356.72143626849
1653,97267.29248695436
1654,150795.465529179
1655,143979.994528437
1656,147086.05674439596
1657,154131.53286423403
1658,151107.8371758164
1659,132364.03762779196
1660,150415.77207613175
1661,429242.2678093587
1662,385850.2977594103
1663,382955.1821394963
1664,375607.35533298616
1665,322972.98068116297
1666,322177.1650367148
1667,360552.8542249448
1668,334682.9308563574
1669,307441.5929582671
1670,348858.6648924066
1671,265066.85991072276
1672,451935.2580377585
1673,294468.15758717956
1674,245684.20559955764
1675,190922.20418065717
1676,193452.83594401646
1677,213856.06099481453
1678,472900.1977110466
1679,374820.14710758446
1680,333113.34540537914
1681,273152.3942952117
1682,314903.20393244916
1683,186181.8876525987
1684,170639.58197190243
1685,173724.93669507344
1686,166665.8473610531
1687,168590.32622338497
1688,183027.76901871327
1689,189458.96518197388
1690,193112.63266616178
1691,182113.75361985542
1692,268533.94500593917
1693,173027.0239587824
1694,184734.7858840047
1695,169665.53247038482
1696,272235.761007835
1697,175505.1321895949
1698,344527.8088680515
1699,322365.9564436079
1700,255704.80307069127
1701,269599.6412042076
1702,241472.64688196304
1703,237469.65714666364
1704,277314.3888597528
1705,239524.657983625
1706,421604.43158274144
1707,223482.69947353777
1708,208204.765659555
1709,277347.86326102813
1710,226112.61970605084
1711,267169.06202205364
1712,244863.6667055772
1713,261958.9967499049
1714,223906.46220027385
1715,204839.9304283401
1716,180320.55103409043
1717,175037.85714314377
1718,141547.1318519977
